experiment,epoch,accuracy,loss,val_accuracy,val_loss,recall,f1_score,mcc,epoch_time
vgg16_5e-05_10,1,0.4787076413631439,3.124797344207764,0.8067227005958557,0.5384429097175598,0.8030338623672809,0.8125464980926654,0.7400042147694552,116.06
vgg16_5e-05_10,2,0.7144067883491516,1.0760459899902344,0.8971824049949646,0.2886694669723511,0.8978505320664183,0.9036516466875948,0.8617287367317163,94.66
vgg16_5e-05_10,3,0.7932203412055969,0.6621358394622803,0.9214038848876952,0.2257498353719711,0.9211857092153698,0.9260176381971864,0.8944981530825475,83.47
vgg16_5e-05_10,4,0.8246821761131287,0.5394824743270874,0.9357389807701112,0.1967157125473022,0.9357667756197304,0.9393514375234996,0.91370906182006,83.36
vgg16_5e-05_10,5,0.8413135409355164,0.4644047617912292,0.9401878118515016,0.1869754940271377,0.9414117296596004,0.9443629681177308,0.9200507251386044,75.29
vgg16_5e-05_10,6,0.8590042591094971,0.4063711762428283,0.9421650767326356,0.1792864054441452,0.9437520272055212,0.9463297084265624,0.9225720613991978,76.81
vgg16_5e-05_10,7,0.8694915175437927,0.3772945702075958,0.94859117269516,0.1666925549507141,0.9499602622510044,0.9521222343047292,0.9310983310670292,77.45
vgg16_5e-05_10,8,0.8722457885742188,0.359230637550354,0.9495798349380492,0.1628556102514267,0.950463679711343,0.9527641342452524,0.9322887704485292,76.64
vgg16_5e-05_10,9,0.8903601765632629,0.3142838478088379,0.9515570998191832,0.1543866097927093,0.953914495317368,0.9552647973490708,0.9350720671960424,76.03
vgg16_5e-05_10,10,0.8963983058929443,0.2976133525371551,0.9555116295814514,0.1428896635770797,0.957920444127075,0.95866594923705,0.9402443618071912,77.09
vgg16_5e-05_12,1,0.4786016941070556,2.8297359943389893,0.8082056641578674,0.5188380479812622,0.8083197880059318,0.8115366265979851,0.7441909925727127,79.76
vgg16_5e-05_12,2,0.7200211882591248,1.0093958377838137,0.9134948253631592,0.2548428475856781,0.9157252230052584,0.9183307993950094,0.8834589042919364,74.56
vgg16_5e-05_12,3,0.7913135886192322,0.6793558597564697,0.931784451007843,0.1990548521280288,0.9331869269631764,0.9356459305301288,0.9081169053421831,76.33
vgg16_5e-05_12,4,0.8206567764282227,0.5489993095397949,0.9401878118515016,0.1731211096048355,0.9425765468854854,0.943652828331387,0.919574050871766,74.06
vgg16_5e-05_12,5,0.8413135409355164,0.4722100794315338,0.9436480402946472,0.1648953258991241,0.9456601818676972,0.946976945472376,0.924230812102973,74.99
vgg16_5e-05_12,6,0.8590042591094971,0.4101812243461609,0.9451310038566588,0.1576622575521469,0.9467884307844094,0.948761406873814,0.9263283078036516,74.12
vgg16_5e-05_12,7,0.8698093295097351,0.3757390081882477,0.9540286660194396,0.1399911940097808,0.9555299969551824,0.9569169509839436,0.9381411315121704,74.95
vgg16_5e-05_12,8,0.8799788355827332,0.3425749540328979,0.9515570998191832,0.1421293020248413,0.9530645582417608,0.9550511967332174,0.9349958610855156,75.21
vgg16_5e-05_12,9,0.8886652588844299,0.3147255778312683,0.960454761981964,0.1244997307658195,0.9626944652825828,0.9631428747317692,0.946773396849178,74.42
vgg16_5e-05_12,10,0.8974575996398926,0.2954538762569427,0.9609490633010864,0.1238129884004592,0.962622142033719,0.9634868723209908,0.9474437683758944,75.54
vgg16_5e-05_12,11,0.9010593295097352,0.2809623777866363,0.95847749710083,0.1253498643636703,0.960284405774416,0.9615453158784002,0.944282030825714,74.3
vgg16_5e-05_12,12,0.90625,0.2676484882831573,0.9644092917442322,0.1120489835739135,0.9655670204665224,0.9666288791250428,0.9520938145593464,74.66
vgg16_5e-05_8,1,0.4865466058254242,2.480107545852661,0.8156203627586365,0.502162754535675,0.8081441552936817,0.8215530707020002,0.7529885003497129,79.56
vgg16_5e-05_8,2,0.7124999761581421,0.9337548017501832,0.8976767063140869,0.3023971319198608,0.8974220840117894,0.903147679323239,0.8625164490642062,75.39
vgg16_5e-05_8,3,0.7805084586143494,0.634678840637207,0.9179436564445496,0.2610188722610473,0.9173285121715606,0.92277858817965,0.890379681734259,77.02
vgg16_5e-05_8,4,0.8176906704902649,0.5068347454071045,0.9288185834884644,0.2224898189306259,0.9296840284712476,0.9335104886208953,0.9050338697047504,75.6
vgg16_5e-05_8,5,0.8417372703552246,0.4445099830627441,0.9332674145698548,0.2003388404846191,0.9347857123515442,0.9376871784213194,0.9109727619383028,77.18
vgg16_5e-05_8,6,0.8598517179489136,0.3895440101623535,0.9332674145698548,0.1870844215154647,0.9339833636152908,0.93764560183831,0.9108909499845372,74.33
vgg16_5e-05_8,7,0.8722457885742188,0.3575502336025238,0.9372219443321228,0.1754305958747863,0.9377088276005088,0.9413828531027468,0.9161765464392054,74.98
vgg16_5e-05_8,8,0.8787076473236084,0.3467863500118255,0.9396935105323792,0.1660750657320022,0.9404418274927518,0.9437696171192868,0.9194369042752903,75.06
vgg16_0.0001_10,1,0.5754237174987793,2.235542058944702,0.8803756833076477,0.3466527462005615,0.8789668655658678,0.8848495644971396,0.8391055229337342,80.41
vgg16_0.0001_10,2,0.8021186590194702,0.634477436542511,0.9278299808502196,0.209863543510437,0.9259257989871664,0.9303002433097272,0.903138078640064,76.2
vgg16_0.0001_10,3,0.8493643999099731,0.4380495846271515,0.949085533618927,0.1616642922163009,0.9477824490654672,0.9507475779804512,0.931686339694003,75.53
vgg16_0.0001_10,4,0.872669517993927,0.3689746558666229,0.9535343647003174,0.1423500329256057,0.9532166802430948,0.9557164600381888,0.9375253472805004,75.23
vgg16_0.0001_10,5,0.8833686709403992,0.3285611271858215,0.9609490633010864,0.1264114379882812,0.9608594861145828,0.962657271543889,0.9474755092909156,74.72
vgg16_0.0001_10,6,0.899470329284668,0.2869341969490051,0.9653978943824768,0.1185386031866073,0.9666804983230092,0.9676684125013488,0.9534831707525212,75.66
vgg16_0.0001_10,7,0.9032838940620422,0.2648447453975677,0.96391499042511,0.1099437400698661,0.9641431467997772,0.9656545688973036,0.951447919787076,75.22
vgg16_0.0001_10,8,0.9110169410705566,0.246293768286705,0.9673751592636108,0.1080362126231193,0.968095920754817,0.9691884300788008,0.956118034475958,75.27
vgg16_0.0001_10,9,0.920444905757904,0.2240926474332809,0.971824049949646,0.0944124311208725,0.9729595975060322,0.9734088375543676,0.962080688234794,76.9
vgg16_0.0001_10,10,0.9244703650474548,0.2077493518590927,0.9708353877067566,0.0929033607244491,0.9718066136798098,0.972205478329434,0.960740119356606,76.01
vgg16_0.0001_12,1,0.5779660940170288,2.1541709899902344,0.8818586468696594,0.3260405957698822,0.8806626971833207,0.887332430223265,0.8412154161693978,79.27
vgg16_0.0001_12,2,0.7969279885292053,0.6585351228713989,0.9169549942016602,0.2326501160860061,0.9180314913928044,0.9226757545266498,0.8898759720625521,75.72
vgg16_0.0001_12,3,0.8427966237068176,0.463903397321701,0.9476025700569152,0.147716149687767,0.949030924932692,0.9504288003663004,0.9294843892658304,74.19
vgg16_0.0001_12,4,0.873305082321167,0.3665128052234649,0.9569945335388184,0.1298667043447494,0.9573274126447638,0.9591179634079576,0.9421611597897764,74.41
vgg16_0.0001_12,5,0.8890889883041382,0.3188378512859344,0.95847749710083,0.116364449262619,0.9594768809619032,0.9608420735812856,0.9442014141635616,74.56
vgg16_0.0001_12,6,0.8986228704452515,0.2835827469825744,0.9589717984199524,0.1149828433990478,0.9595879963084428,0.961341800683124,0.9448954910742828,78.52
vgg16_0.0001_12,7,0.9095339179039,0.2601795792579651,0.9619377255439758,0.1134019643068313,0.9633326086878576,0.9645253190673184,0.9489507554584606,73.67
vgg16_0.0001_12,8,0.9128177762031556,0.2552241384983063,0.960454761981964,0.1076708659529686,0.9615732279273992,0.9627555175125304,0.9469493945273838,76.09
vgg16_0.0001_12,9,0.9141949415206908,0.2392197102308273,0.9653978943824768,0.0985942929983139,0.9661841145600184,0.9675070288329524,0.9534557530923063,74.73
vgg16_0.0001_12,10,0.9275423884391784,0.2090407162904739,0.965892255306244,0.0965422615408897,0.9658958923726526,0.9675418744931918,0.954132097594116,77.73
vgg16_0.0001_12,11,0.925635576248169,0.2094180583953857,0.9649035930633544,0.1045691892504692,0.96568621818268,0.967022235294184,0.952879217113194,79.06
vgg16_0.0001_12,12,0.9263771176338196,0.1945717185735702,0.971824049949646,0.0898213163018226,0.9725920183724542,0.9734747809609944,0.9621109653881572,79.28
